Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating
ID0001,Diane,01-01-2021,9:12:58,Contract related,Y,Y,109,0:02:23,3
ID0002,Becky,01-01-2021,9:12:58,Technical Support,Y,N,70,0:04:02,3
ID0003,Stewart,01-01-2021,9:47:31,Contract related,Y,Y,10,0:02:11,3
ID0004,Greg,01-01-2021,9:47:31,Contract related,Y,Y,53,0:00:37,2
ID0005,Becky,01-01-2021,10:00:29,Payment related,Y,Y,95,0:01:00,3
ID0006,Stewart,01-01-2021,10:00:29,Technical Support,N,N,,,
ID0007,Diane,01-01-2021,10:22:05,Payment related,Y,Y,24,0:03:40,2
ID0008,Diane,01-01-2021,10:22:05,Payment related,Y,Y,22,0:00:38,4
ID0009,Greg,01-01-2021,11:13:55,Admin Support,Y,Y,15,0:06:38,4
ID0010,Jim,01-01-2021,11:13:55,Streaming,Y,Y,78,0:01:04,3
ID0011,Joe,01-01-2021,11:15:22,Payment related,N,N,,,
ID0012,Greg,01-01-2021,11:15:22,Payment related,Y,Y,50,0:00:32,4
ID0013,Joe,01-01-2021,11:52:48,Payment related,Y,Y,84,0:03:34,3
ID0014,Martha,01-01-2021,11:52:48,Contract related,Y,Y,89,0:05:44,3
ID0015,Becky,01-01-2021,11:55:41,Admin Support,Y,Y,48,0:03:47,4
ID0016,Becky,01-01-2021,11:55:41,Admin Support,Y,Y,63,0:05:26,2
ID0017,Greg,01-01-2021,11:57:07,Technical Support,Y,Y,45,0:05:32,5
ID0018,Becky,01-01-2021,11:57:07,Admin Support,N,N,,,
ID0019,Jim,01-01-2021,12:01:26,Streaming,N,N,,,
ID0020,Jim,01-01-2021,12:01:26,Contract related,Y,Y,101,0:02:27,3
ID0021,Jim,01-01-2021,12:02:53,Technical Support,Y,Y,74,0:05:22,5
ID0022,Dan,01-01-2021,12:02:53,Admin Support,Y,Y,89,0:05:50,5
ID0023,Martha,01-01-2021,12:02:53,Technical Support,N,N,,,
ID0024,Joe,01-01-2021,12:02:53,Technical Support,Y,Y,68,0:05:25,2
ID0025,Diane,01-01-2021,12:30:14,Streaming,Y,Y,97,0:04:09,3
ID0026,Dan,01-01-2021,12:30:14,Payment related,N,N,,,
ID0027,Joe,01-01-2021,12:40:19,Streaming,Y,Y,39,0:04:00,3
ID0028,Martha,01-01-2021,12:40:19,Contract related,Y,Y,51,0:02:34,4
ID0029,Joe,01-01-2021,12:40:19,Technical Support,Y,Y,106,0:02:09,4
ID0030,Stewart,01-01-2021,12:40:19,Streaming,Y,Y,107,0:05:55,3
ID0031,Joe,01-01-2021,13:24:58,Admin Support,Y,Y,22,0:05:08,3
ID0032,Joe,01-01-2021,13:24:58,Streaming,Y,Y,122,0:02:08,4
ID0033,Diane,01-01-2021,13:33:36,Technical Support,Y,Y,57,0:06:49,3
ID0034,Jim,01-01-2021,13:33:36,Payment related,Y,N,53,0:01:44,2
ID0035,Becky,01-01-2021,13:42:14,Streaming,Y,Y,119,0:01:31,5
ID0036,Diane,01-01-2021,13:42:14,Streaming,N,N,,,
ID0037,Martha,01-01-2021,13:42:14,Technical Support,Y,N,20,0:01:12,2
ID0038,Joe,01-01-2021,13:42:14,Technical Support,Y,Y,52,0:00:36,3
ID0039,Stewart,01-01-2021,14:38:24,Contract related,Y,Y,74,0:06:41,1
ID0040,Greg,01-01-2021,14:38:24,Technical Support,Y,Y,49,0:02:29,3
ID0041,Jim,01-01-2021,14:47:02,Technical Support,Y,Y,27,0:02:09,5
ID0042,Greg,01-01-2021,14:47:02,Contract related,Y,Y,100,0:04:54,5
ID0043,Diane,01-01-2021,14:47:02,Technical Support,Y,Y,45,0:06:21,3
ID0044,Becky,01-01-2021,14:47:02,Payment related,Y,Y,98,0:03:14,5
ID0045,Diane,01-01-2021,15:44:38,Admin Support,Y,Y,25,0:05:13,5
ID0046,Jim,01-01-2021,15:44:38,Contract related,N,N,,,
ID0047,Dan,01-01-2021,17:13:55,Admin Support,Y,Y,107,0:02:22,3
ID0048,Martha,01-01-2021,17:13:55,Contract related,N,N,,,
ID0049,Joe,01-01-2021,17:25:26,Technical Support,Y,Y,104,0:03:35,5
ID0050,Dan,01-01-2021,17:25:26,Technical Support,N,N,,,
ID0051,Martha,01-01-2021,17:35:31,Contract related,N,N,,,
ID0052,Jim,01-01-2021,17:35:31,Admin Support,N,N,,,
ID0053,Stewart,01-01-2021,17:36:58,Payment related,Y,Y,13,0:01:15,5
ID0054,Dan,01-01-2021,17:36:58,Payment related,Y,Y,119,0:02:32,5
